, 30
littlefinger, 25
sandor, 32
allying, 1
confesses, 2
em, 1
lambmen, 1
thank, 5
yaras, 1
yet, 2
2, 1
a, 454
ac, 4
acpresent, 1
aegon, 19
aemon, 7
aenys, 1
aerys, 2
ahai, 1
alayne, 2
alchemists, 1
alliser, 3
along, 7
alton, 1
alys, 3
amory, 4
amorys, 1
andals, 2
angered, 2
anya, 1
army, 46
arnolf, 1
arryn, 11
arryns, 2
arthur, 3
arya, 381
aryas, 47
ask, 45
astapor, 5
at, 119
aurane, 1
azor, 1
bad, 3
baelish, 19
baelishs, 1
baelor, 11
balerion, 1
balon, 2
bank, 9
banners, 3
baratheon, 17
baratheons, 1
bard, 1
barristan, 12
barristans, 1
barrows, 1
baskett, 1
bastards, 6
battle, 46
bay, 12
bear, 2
before, 50
begone, 1
belicho, 1
bella, 1
benioff, 2
benjen, 11
benjens, 2
beric, 10
bernadette, 2
bianca, 1
billy, 1
biter, 2
black, 38
blacks, 1
blackwater, 10
blessed, 1
blood, 7
bloody, 2
blount, 2
bluray, 1
blue, 3
bolton, 13
boltons, 13
bones, 3
borcas, 1
boros, 2
bound, 1
bowen, 3
boys, 8
braavos, 14
braavosi, 4
bran, 138
brans, 26
brandon, 4
breaker, 1
bridge, 4
brienne, 25
briennes, 1
broken, 4
bronn, 15
brotherhood, 9
brusco, 3
bruscos, 1
brynden, 1
bucky, 3
bulwer, 2
burn, 8
bywater, 1
canals, 1
captains, 2
casper, 1
cassel, 7
castamere, 1
casterly, 6
castle, 29
cat, 2
catelyn, 23
catelyns, 6
cave, 7
celebrate, 7
cells, 2
cersei, 267
cerseis, 39
cerwyn, 3
chains, 3
chamber, 6
chaos, 1
child, 21
children, 55
chiswyck, 1
citadel, 4
cities, 10
city, 30
clapton, 2
clarke, 1
cleave, 1
clegane, 9
cleganes, 2
cleon, 1
cleos, 1
cloaks, 5
clydas, 1
coin, 5
coldhands, 1
comet, 2
coming, 8
commander, 17
common, 3
company, 3
connington, 2
conqueror, 4
conquest, 2
corbray, 1
cotter, 3
council, 14
crane, 6
cranes, 1
craster, 6
crasters, 10
crossroads, 3
crown, 6
crowns, 1
crows, 3
cyvasse, 1
daario, 24
daarios, 1
daenery, 3
daenerys, 462
daeneryss, 17
daeron, 4
dalba, 2
dance, 2
dany, 11
danys, 3
dareon, 3
darkstar, 1
darry, 1
daughter, 13
david, 1
davos, 27
dawn, 2
daxos, 1
dayne, 5
daznaks, 2
dead, 31
death, 44
declarant, 1
deepwood, 2
defender, 1
delighted, 1
denys, 1
dickon, 2
dinklage, 4
dismissing, 1
disneys, 1
distraught, 4
dohaeris, 1
dondarrion, 3
donnel, 3
dontos, 9
doom, 1
door, 5
doran, 3
dorans, 1
doreah, 3
dorne, 9
dornish, 1
dornishman, 1
dothrak, 1
dothraki, 24
dracarys, 1
dragon, 19
dragonpit, 4
dragons, 42
dragonstone, 3
dread, 1
dreadfort, 1
drogo, 18
drogos, 11
drogon, 34
drogons, 7
duncan, 2
during, 29
duur, 2
eastwatch, 2
eastwatchbythesea, 2
edd, 7
eddard, 29
eddards, 5
eddison, 3
edric, 1
egen, 2
elia, 4
elias, 1
elizabeth, 1
ellaria, 10
elmar, 1
emilia, 1
episode, 3
eraz, 2
essence, 1
essos, 3
euron, 9
eurons, 4
europe, 1
eyrie, 4
eyries, 1
faceless, 7
faces, 14
faith, 10
father, 48
feast, 9
fennesz, 8
fenneszs, 1
fine, 2
fire, 19
first, 39
fist, 2
five, 6
fleet, 14
flint, 1
folk, 6
folks, 1
for, 228
forel, 2
forest, 9
fork, 6
four, 6
free, 22
freedmen, 5
frey, 11
freys, 7
from, 160
frostfang, 1
galbart, 1
game, 12
games, 5
garden, 1
gate, 4
gavalda, 1
gendry, 25
gendrys, 1
george, 1
gerion, 1
gerold, 3
ghiscari, 1
ghost, 6
ghosts, 1
giantsbane, 3
gilly, 4
gillys, 1
glover, 7
glovers, 1
god, 5
gods, 8
godswood, 10
gold, 12
golden, 9
goldroad, 1
good, 17
gordo, 1
grabbing, 2
graces, 1
grand, 3
great, 34
greatjon, 1
green, 8
greenhands, 1
greensight, 2
gregor, 12
gregors, 2
grenn, 7
grey, 18
greyguard, 1
greyjoy, 11
greyjoys, 1
greywater, 1
griff, 2
guard, 9
guild, 3
hghar, 5
halder, 1
halfbrother, 8
halfhand, 4
halfman, 1
hall, 4
hallyne, 2
hand, 29
hands, 9
harbor, 1
hardhome, 3
hardyng, 1
harold, 1
harpy, 13
harrenhal, 7
harrold, 5
harry, 1
harwin, 1
harys, 1
haunted, 2
he, 294
headey, 5
heart, 12
hearth, 1
her, 524
high, 23
highgarden, 4
hightower, 2
hill, 11
hills, 1
histories, 1
hizdahr, 10
hoat, 1
hobb, 1
hodor, 8
hodors, 1
holdfast, 2
hollard, 4
hollow, 2
horrified, 2
horseface, 1
hot, 6
hound, 34
house, 39
household, 2
houses, 11
how, 125
howland, 1
hugh, 2
hunt, 1
i, 21
im, 1
ii, 6
iv, 1
ice, 11
illyrio, 6
illyrios, 1
ilyn, 4
imp, 2
in, 347
inn, 4
inside, 3
insulted, 1
iron, 29
ironhand, 1
irri, 4
irritated, 1
is, 694
island, 5
islands, 4
isles, 1
izembaro, 1
jacelyn, 1
jack, 3
jaehaerys, 2
jaime, 64
jaimes, 3
janos, 8
jaqen, 16
jaqens, 2
jeor, 6
jeyne, 1
joanna, 2
joffrey, 61
joffreys, 14
jojen, 17
jojens, 2
jon, 368
jons, 44
jorah, 52
jorahs, 8
jory, 1
jorys, 2
joy, 4
karl, 1
karstark, 6
karstarks, 1
keep, 40
kegs, 2
kettleblack, 4
kettleblacks, 1
kevan, 11
kevans, 1
khal, 6
kill, 41
kindly, 7
king, 77
kings, 45
kingbeyondthewall, 3
kinga, 1
kingdoms, 22
kingsguard, 4
kingsguards, 1
kingslayer, 1
kinvara, 3
kitty, 1
knights, 7
kovarro, 1
kraznys, 8
kristina, 1
kyra, 1
lanisster, 3
lady, 34
lame, 1
lancel, 9
lancels, 1
landing, 35
lands, 7
lanna, 1
lannister, 70
lannisters, 22
lannistertarly, 2
lannistertyrell, 2
last, 17
laws, 1
leaf, 2
leech, 1
lena, 3
leonette, 1
letter, 12
lhazar, 1
liberation, 1
liddle, 1
light, 9
littlefingers, 3
littlefingercersei, 1
lives, 2
locke, 2
lollys, 1
lommy, 2
long, 25
longclaw, 3
loraq, 3
loras, 17
lorass, 1
lorch, 2
lord, 67
lords, 19
lore, 1
losing, 6
lothar, 1
love, 29
low, 2
luwin, 7
lyanna, 18
lyannas, 1
lysa, 11
lysas, 3
mace, 5
maces, 1
mad, 5
madness, 7
maege, 1
maegor, 2
maegors, 1
maegyr, 1
maester, 10
maggy, 1
maggys, 1
magister, 2
mago, 1
maisie, 4
malko, 1
mallister, 1
man, 27
mance, 12
mances, 3
mancesam, 1
manderly, 2
mandon, 4
manyfaced, 2
margaery, 32
margaerys, 1
marillion, 1
marsh, 4
martell, 8
martells, 1
martin, 1
master, 6
masteratarms, 1
masters, 15
mathis, 1
maynard, 1
maz, 1
meera, 9
meereen, 30
meereenese, 2
melaras, 1
melisandre, 29
melisandres, 1
men, 70
merchant, 2
mercy, 8
mero, 1
merryweather, 1
meryn, 11
meryns, 1
mhysa, 3
michele, 2
mighdal, 4
mighdals, 2
militant, 6
mink, 1
mirri, 1
missandei, 30
missandeis, 2
moles, 1
moon, 1
moore, 2
moores, 1
mopatis, 3
moqorro, 1
mord, 1
mordane, 3
morghulis, 3
mormont, 17
mormonts, 1
moro, 4
mossador, 2
mother, 23
mothers, 5
mott, 1
motte, 1
mountain, 6
mounts, 1
mrycella, 1
mud, 1
mully, 2
multiple, 2
my, 8
mya, 1
mycah, 4
myk, 1
myr, 2
myranda, 8
myrandas, 1
myrcella, 12
myrcellas, 1
naharis, 7
nakloz, 1
nan, 1
narrow, 5
ned, 17
neds, 5
nedcersei, 1
nededdard, 1
neddard, 1
needle, 5
nestor, 1
nestoris, 2
new, 35
night, 28
nights, 32
nightfort, 1
nightshade, 1
no, 39
north, 46
norths, 1
northern, 12
northerners, 6
northmen, 2
nothing, 14
nymeria, 6
oathkeeper, 1
oberyn, 12
oberyns, 1
of, 993
old, 27
oldtown, 1
olenna, 16
olennas, 1
olly, 5
olsen, 1
olyvar, 1
on, 116
open, 10
oppo, 1
orell, 5
ornela, 1
orson, 2
osha, 9
oshas, 2
osmund, 1
osney, 2
othell, 3
othor, 1
oxcross, 1
pov, 4
paenymion, 1
